Unique ID,State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/Action Taken,Week
MH/BUL/2024/08/262,Maharashtra,Buldhana,Food Poisoning,208,0,20-02-2024,22-02-2024,Under Control,"Cases from Village Somthana, Sub-District Lonar. Vomiting and pain abdomen. All cases had food in a function. No deaths.",week 8
MH/NDB/2024/08/263,Maharashtra,Nandurbar,Acute Diarrheal Disease,193,0,21-02-2024,23-02-2024,Under Surveillance,"Cases from Village Ranale, Sub-District Lonar. Nausea, vomiting and pain abdomen. Both water samples unfit for potable purpose.",week 8
MH/YVT/2024/08/264,Maharashtra,Yavatmal,Food Poisoning,68,0,20-02-2024,20-02-2024,Under Control,"Cases from Village Chikani, Sub-District Darwha. Loose stools and pain abdomen. All cases had food in a village function. 5 food samples collected and sent to FDI lab.",week 8
MG/JTH/2024/08/265,Meghalaya,West Jaintia Hills,Measles,23,0,22-02-2024,23-02-2024,Under Surveillance,"Cases from Village Umladang, Sub-District Thadlaskein. 3 out of 7 blood samples positive for Measles IgM by ELISA. Age group 1-10 years. Most cases had not taken any MR vaccine.",week 8
MG/JTH/2024/08/266,Meghalaya,West Jaintia Hills,Human Rabies,1,1,17-02-2024,23-02-2024,Under Surveillance,"Case from Khliehtyrshi, Sub-District Thadlaskein. 22 year old male. Dog bite 2 years back. Did not receive post exposure prophylaxis. Expired on 17-02-2024.",week 8
OR/BAG/2024/08/267,Odisha,Balangir,Acute Diarrheal Disease,20,0,20-02-2024,20-02-2024,Under Control,Cases from Sub-District Patnagarh. Loose motions and vomiting. 1 water sample unfit (Coliform detected). All cases had food in hostel mess. Age group 10-13 years.,week 8
OR/BHD/2024/08/268,Odisha,Bhadrak,Acute Diarrheal Disease,29,0,23-02-2024,25-02-2024,Under Surveillance,Cases from Sub-District Chandabali. Rectal swabs showed E.Coli and Staphylococcus; 1 water sample unfit. All cases had food in hostel mess. Age group 10-13 years.,week 8
OR/DNK/2024/08/269,Odisha,Dhenkanal,Acute Diarrheal Disease,22,0,20-02-2024,21-02-2024,Under Control,Cases from Sub-District Hindol. Loose motions and vomiting. Rectal swab - no pathogenic organism growth. Water sample fit for potable purposes.,week 8
PN/PON/2024/08/270,Puducherry,Pondicherry,Chickenpox,17,0,20-02-2024,22-02-2024,Under Surveillance,"Cases from Govt. Primary school Koonichempet, Village Manalipet. Fever with vesicular rash. Age group 2-13 years. Treated symptomatically.",week 8
PB/FZA/2024/08/271,Punjab,Fazilka,Mumps,7,0,21-02-2024,21-02-2024,Under Control,"Cases from Sri Guru Hargobind Singh Public School, Village Arniwala Sheikh Shubham. All 5 blood samples positive for Mumps IgM ELISA. Age group 1-15 years.",week 8
TN/CMB/2024/08/272,Tamil Nadu,Coimbatore,Chickenpox,12,0,21-02-2024,22-02-2024,Under Surveillance,"Cases from Mahajana Elementary School, Sub-District Mettupalayam. Fever with rash. Age group 5-10 years. Treated symptomatically.",week 8
TN/CMB/2024/08/273,Tamil Nadu,Coimbatore,Mumps,40,0,20-02-2024,20-02-2024,Under Surveillance,"Cases from Mahajana higher secondary school, Sub-District Mettupalayam. All 5 blood samples positive for Mumps IgM ELISA. Age group 1-15 years.",week 8
TN/VIL/2024/08/274,Tamil Nadu,Kallakurichi,Chickenpox,18,0,23-02-2024,23-02-2024,Under Surveillance,"Cases from Village Madur, Sub-District Kallakkurichi. Fever with rash, red spots ulcer. Age group 1-14 years. Treated symptomatically.",week 8
UP/FZB/2024/08/275,Uttar Pradesh,Faizabad,Fever with rash,12,0,16-02-2024,25-02-2024,Under Surveillance,"Cases from Village Katiyar Ka Purwa, Sub-District Rudauli, District Ayodhya. All 12 blood samples negative for Measles IgM by ELISA. Age group 1-12 years. Cases were dropouts during routine immunization.",week 8
UK/NAI/2024/08/276,Uttarakhand,Nainital,Food Poisoning,23,0,16-02-2024,21-02-2024,Under Control,"Cases from Village Kwarab, Sub-District Kosya Kutauli. Vomiting and diarrhea after attending a marriage function. Stool and water samples negative for cholera. Age group 6-20 years.",week 8
WB/MRS/2024/08/277,West Bengal,Murshidabad,Cholera,20,0,16-02-2024,20-02-2024,Under Control,"Cases from Village Rukunpur, Sub-District Hariharpara. All 5 stool samples positive for Vibrio cholera on culture. All cases had food in a village gathering.",week 8
WB/BWN/2024/08/278,West Bengal,Purba Bardhaman,Food Poisoning,32,0,16-02-2024,23-02-2024,Under Control,"Cases from Sub-District Manteswar. Vomiting, loose stools and pain abdomen. Rectal swab - no pathogenic organism growth. All cases had food in a religious function.",week 8
AP/KOS/2024/08/279,Andhra Pradesh,Konaseema,Food Poisoning,52,0,12-02-2024,,Under Control,"(Late report) Cases from Dr B R Ambedkar Residential School Aadivarapupeta, Village Draksharama. Samples - no pathogenic organism growth. All cases had dinner in hostel mess. No deaths.",week 8
AR/CNG/2024/08/280,Arunachal Pradesh,Changlang,Chickenpox,29,0,15-02-2024,,Under Control,"(Late report) Cases from village Thamiyang, Sub-District Khimiyang EAC. Fever with rash. Age group 0-5 years. Treated symptomatically.",week 8
GJ/TAP/2024/08/281,Gujarat,Tapi,Measles,6,0,13-02-2024,,Under Control,"(Late report) Cases from Village Pati, Sub-District Dolvan. 1 out of 3 blood samples positive for Measles IgM by ELISA. Age group 1-7 years. Vaccination status poor. Vitamin A given.",week 8
KL/ERN/2024/08/282,Kerala,Ernakulam,Hepatitis A,9,1,11-02-2024,,Under Surveillance,(Late report) Cases from Sub-District Aluva. 2 out of 8 blood samples positive for Hepatitis A IgM by ELISA. 41 year old female died on 8-02-2024 due to Fulminant Hepatic failure.,week 8
MP/RTM/2024/08/283,Madhya Pradesh,Ratlam,Mumps,3,0,12-02-2024,,Under Surveillance,"(Late report) Cases from UPHC TIT Road, District Ratlam. All 3 blood samples positive for Mumps by RT-PCR. Age group 10-15 years.",week 8
MG/JTH/2024/08/284,Meghalaya,West Jaintia Hills,Human Rabies,1,1,09-02-2024,,Under Surveillance,"(Late report) Case from Nangbah, Sub-District Thadlaskein. 68 year old female. Dog bite in June 2023. Did not receive ARV. The dog died 2 weeks after the bite. Expired on 09-02-2024.",week 8
MG/WKH/2024/08/285,Meghalaya,West Khasi Hills,Human Rabies,1,1,14-02-2024,,Under Control,"(Late report) Case from Village Riangdo, Sub-District Mawshynrut. 33 year old male. Dog bite 23 years back. Did not receive post exposure prophylaxis. Expired on 15-02-2024.",week 8
AP/CDP/2024/09/286,Andhra Pradesh,Y.S.R.,Acute Diarrheal Disease,22,0,22-02-2024,26-02-2024,Under Surveillance,"Cases from a hostel in Pendli Marri, Village Veluru Padu. All females aged 20-25 years. Drinking water sample negative for bacterial contamination. Food handlers and sanitation workers instructed.",week 9
AR/UPS/2024/09/287,Arunachal Pradesh,Upper Subansiri,Mushroom Poisoning,7,1,27-02-2024,28-02-2024,Under Control,"Cases from DH Daporijo, Village Tigri Colony. Abdominal pain, nausea, vomiting and diarrhea after consuming wild mushroom. Death of a 38 year old female. Community educated on food safety.",week 9
AS/DAR/2024/09/288,Assam,Darrang,Food Poisoning,9,0,26-02-2024,28-02-2024,Under Control,"Cases from Sipajhar BPHC, Village Byas Para. Pain abdomen and vomiting after attending a marriage ceremony. Age group 6-15 years. Water sample satisfactory.",week 9
AS/GLP/2024/09/289,Assam,Goalpara,Human Rabies,1,1,24-02-2024,26-02-2024,Under Control,"Case from Village Harimura, Sub-District Matia. Dog scratch on hand on 12.01.2024. Did not receive ARV. Death of a 36 year old male on 26.02.2024.",week 9
AS/JRT/2024/09/290,Assam,Jorhat,Acute Diarrheal Disease,13,0,28-02-2024,28-02-2024,Under Surveillance,"Cases from a hostel, Sipahikhola under Kakojan BPHC. All female aged 18-23 years. Stool samples showed Entero-toxigenic E.coli (ETEC). Water samples unfit for drinking.",week 9
BH/BHJ/2024/09/291,Bihar,Bhojpur,Acute Diarrheal Disease,40,0,27-02-2024,27-02-2024,Under Surveillance,"Cases from Village Itwa, Sub-District Behea. All cases consumed food at a marriage party. Nausea, vomiting and loose stools. No deaths.",week 9
BH/SAR/2024/09/292,Bihar,Saharsa,Measles,14,0,29-02-2024,29-02-2024,Under Surveillance,"Cases from Village Patorri, Sub-District Sattar-Kattaiya. 2 out of 5 blood samples positive for Measles IgM by ELISA. Age group 12-28 years.",week 9
CT/RGR/2024/09/293,Chhattisgarh,Raigarh,Acute Diarrhoeal Disease,24,0,28-02-2024,28-02-2024,Under Control,"Cases from Village Baisy Colony, Sub-District Udaipur. Stool sample negative for enteric pathogen. Health camp organized.",week 9
CT/SUA/2024/09/294,Chhattisgarh,Sukma,Measles,7,0,28-02-2024,29-02-2024,Under Control,"Cases from Village Maroki, Health Facility Gadiras. 2 out of 6 blood samples positive for Measles IgM by ELISA. Age group 1-7 years.",week 9
CT/SUA/2024/09/295,Chhattisgarh,Sukma,Measles,31,0,27-02-2024,28-02-2024,Under Control,"Cases from Village Gondpalli, Sub-District Sukma. 5 out of 17 blood samples positive for Measles IgM by ELISA. Age group 2-11 years.",week 9
GJ/GAN/2024/09/296,Gujarat,Gandhinagar,Cholera,216,0,27-02-2024,28-02-2024,Under Surveillance,"Cases from Kalol UPHC-1, CHC Kalol, Village Kalol, Sub-District Kalol. 1 out of 9 stool samples positive for Vibrio Cholera. 6 out of 20 water samples not potable. Diarrhea and vomiting.",week 9
GJ/GSN/2024/09/297,Gujarat,Gir Somnath,Acute Diarrheal Disease,7,0,01-03-2024,01-03-2024,Under Surveillance,"Cases from Village Sidokar, Sub-District Patan-Veraval. Vomiting and diarrhea. Stool sample negative. Age group 20-50 years.",week 9
GJ/GSN/2024/09/298,Gujarat,Gir Somnath,Acute Diarrheal Disease,47,0,26-02-2024,26-02-2024,Under Control,"Cases from Village Fareda, CHC Girgadhda. Abdominal pain, loose stools, nausea and vomiting after attending a wedding ceremony. Age group 5-15 years. ORS and chlorine tablets distributed.",week 9
GJ/JGH/2024/09/299,Gujarat,Junagadh,Food Poisoning,17,0,28-02-2024,29-02-2024,Under Control,"Cases from Village Mahobatpur, Sub-District Vanthali. Diarrhea, vomiting and abdominal pain after attending a marriage ceremony. Water samples potable. Contaminated food suspected.",week 9
JH/CHA/2024/09/300,Jharkhand,Chatra,Chickenpox,7,0,25-02-2024,28-02-2024,Under Control,"Cases from Village Aunrwa, Sub-District Hunterganj. Fever with rash. Age group 4-26 years. Treated symptomatically.",week 9
JH/DEO/2024/09/301,Jharkhand,Deoghar,Acute Diarrheal Disease,67,0,26-02-2024,27-02-2024,Under Control,"Cases from Village Bangora, Sub-District Devipur. Nausea, vomiting, loose stools and pain abdomen. All cases consumed street food at a local vendor. No deaths.",week 9
JH/DMK/2024/09/302,Jharkhand,Dumka,Chickenpox,5,0,26-02-2024,27-02-2024,Under Surveillance,"Cases from Village Ghatrasikpur Loot Para, Sub-District Dumka. All 5 vesicle samples positive for Chickenpox IgM by ELISA. Age group 5-25 years.",week 9
KN/KRW/2024/09/303,Karnataka,Uttar Kannad,Kyasanur Forest Disease,139,1,01-03-2024,01-03-2024,Under Surveillance,"Cases from Kasegadae Navilgar Village & Hattargi Village, Revankatt PHC, Sirsi Taluk. 5 out of 139 samples positive for KFDV by RT-PCR. 3 tick pool samples negative. Death of a 66 year old male (positive for KFD). IEC activities done.",week 9
KN/KRW/2024/09/304,Karnataka,Uttar Kannad,Kyasanur Forest Disease,133,0,27-02-2024,29-02-2024,Under Surveillance,"Cases from Hattikeri Village, PHC Hattikeri, Ankola Taluk, Uttrakannada. 1 out of 133 samples positive for KFDV by RT-PCR. IEC activities done. Fever survey initiated.",week 9
KL/ALP/2024/09/305,Kerala,Alappuzha,Acute Diarrheal Disease,22,0,02-03-2024,03-03-2024,Under Surveillance,"Cases from a school under CHC Veliyanad, Village Veliyanad, Sub-District Kuttanad. Loose stools. 2 water samples - Coliforms detected. 1 stool sample negative for Entero, Noro, and Rota virus. Age group 5-9 years.",week 9
KL/ERN/2024/09/306,Kerala,Ernakulam,Dengue,16,0,29-02-2024,02-03-2024,Under Surveillance,"Cases from FHC Kunnukara, Sub-District Paravur. Fever, myalgia, nausea and vomiting. All 5 samples positive for dengue IgM by ELISA. Community awareness on vector control.",week 9
KL/IDK/2024/09/307,Kerala,Idukki,Mumps,6,0,28-02-2024,28-02-2024,Under Surveillance,"Cases from a school under PHC K P Colony, Sub-District Udumbanchola. Fever and swelling in salivary glands. All cases fully vaccinated. Age group 4-6 years. Isolation done.",week 9
KL/CNR/2024/09/308,Kerala,Kannur,Mumps,10,0,27-02-2024,29-02-2024,Under Surveillance,"Cases from a school under PHC Pariyaram, Village Kuttiyeri, Sub-District Taliparamba. 2 out of 10 children unimmunized. Age group 1-10 years. Immunization drive done on 05.03.24.",week 9
KL/KAS/2024/09/309,Kerala,Kasaragod,Hepatitis A,41,0,28-02-2024,01-03-2024,Under Surveillance,"Cases from FWC Alampady, FHC Chengala, Sub-District Kasaragod. All 9 blood samples positive for Viral Hepatitis-A IgM. All victims had intake of welcome drink during a marriage function on 04.02.2024.",week 9
KL/KTM/2024/09/310,Kerala,Kottayam,Chickenpox,28,0,28-02-2024,28-02-2024,Under Surveillance,"Cases from FHC Ramapuram, Village Ramapuram, Sub-District Meenachil. Age group 29-75 years, males. Clinically confirmed chickenpox. Isolation of cases and contacts done.",week 9
KL/KOZ/2024/09/311,Kerala,Kozhikode,Mumps,16,0,01-03-2024,01-03-2024,Under Surveillance,"Cases from a school under FHC Kunnamanngalam, Sub-District Kozhikode. Age group 4-7 years. All cases clinically diagnosed as mumps. Fever, headache and enlargement of parotid glands.",week 9
KL/MLP/2024/09/312,Kerala,Malappuram,Acute Hepatitis-A,409,3,26-02-2024,27-02-2024,Under Surveillance,"Cases from PHC Pothukal, Village Pothukallu, Sub-District Nilambur. All 100 blood samples IgM positive for Hepatitis A. 34 out of 43 water samples not satisfactory. Deaths of 47 year old male, 59 year old male and 37 year old male occurred.",week 9
KL/PLK/2024/09/313,Kerala,Palakkad,Hepatitis A,18,0,26-02-2024,27-02-2024,Under Surveillance,"Cases from PHC Pirayiri, Sub-District Palakkad. Both samples positive for Hepatitis-A. 9 water samples positive for Hepatitis-A. Super chlorination of water sources done. Door-to-door active case search.",week 9
KL/THI/2024/09/314,Kerala,Thiruvananthapuram,Acute Diarrheal Disease,199,0,02-03-2024,02-03-2024,Under Control,"Cases from UPHC Varkala, Sub-District Varkala. Fever, abdominal pain, diarrhea and vomiting after consumption of food from a common place on 29/2/24. 5 stool samples negative for any entero-pathogen. Contaminated food suspected.",week 9
KL/THI/2024/09/315,Kerala,Thiruvananthapuram,Acute Diarrheal Disease,27,0,02-03-2024,02-03-2024,Under Surveillance,"Cases from a school under CHC Perumakadavila, Sub-District Neyyattinkara. Abdominal pain, headache, nausea, vomiting and diarrhea after consuming mid-day meal on 1/03/2024. Contaminated food suspected.",week 9
KL/THI/2024/09/316,Kerala,Thiruvananthapuram,Acute Diarrheal Disease,10,1,28-02-2024,29-02-2024,Under Surveillance,"Cases from UPHC Kannamoola, UPHC Nanthancode. Salmonella typhimurium found in 3 cases. Hotel closed in collaboration with corporation health team. 21 year old male expired (positive for S.typhi).",week 9
KL/WYN/2024/09/317,Kerala,Wayanad,Food Poisoning,90,0,27-02-2024,28-02-2024,Under Surveillance,"Cases from PHC Valad, FHC Thondernad, Village Thondernad-Valat. Loose stools and vomiting after consuming food during a temple festival. Water sample from well positive for coliform bacteria. ORS and Zinc distributed.",week 9
MP/BHN/2024/09/318,Madhya Pradesh,Bhind,Measles,5,0,26-02-2024,27-02-2024,Under Surveillance,"Cases from CHC Gohad, Block Gohad. Fever with rash. Age group 1-15 years. Incomplete vaccination. All 5 blood samples positive for Anti-Measles IgM by ELISA. Vitamin A supplementation given.",week 9
MP/DWS/2024/09/319,Madhya Pradesh,Dewas,Mumps,5,0,29-02-2024,01-03-2024,Under Surveillance,Cases from a school under CHC Bagli. Salivary gland swelling. Age group 8-10 years. 5 blood samples sent to AIIMS Bhopal. Isolation of diagnosed cases. Immunization of due beneficiaries coordinated.,week 9
MP/DWS/2024/09/320,Madhya Pradesh,Dewas,Fever with Rash,6,0,29-02-2024,29-02-2024,Under Surveillance,Cases from CH Kannod (Urban). Fever with rash. Age group 3-25 years. All 6 samples negative for Measles IgM ELISA and Rubella IgM ELISA. Vitamin A supplementation given.,week 9
MP/DWS/2024/09/321,Madhya Pradesh,Dewas,Fever with Rash,8,0,27-02-2024,29-02-2024,Under Surveillance,"Cases from CHC Tonk Khurd, Village Dhutkheda. Fever with rash. All 8 samples negative for Measles IgM ELISA and Rubella IgM ELISA. Extra immunization session conducted.",week 9
MP/NIM/2024/09/322,Madhya Pradesh,Neemuch,Measles,6,0,27-02-2024,27-02-2024,Under Surveillance,Cases from Sub-District Neemuch Nagar. Fever with rash. Age group 6 months to 11 years. All 5 blood samples positive for Measles IgM ELISA. Vitamin A supplementation given.,week 9
MP/RWA/2024/09/323,Madhya Pradesh,Rewa,Chickenpox,10,0,01-03-2024,01-03-2024,Under Surveillance,"Cases from CHC Gangeo, Village Dharabibha, Sub-District Mangawan. Both blood samples positive for chickenpox IgM by ELISA. All infected were isolated.",week 9
MP/RWA/2024/09/324,Madhya Pradesh,Rewa,Chickenpox,8,0,29-02-2024,29-02-2024,Under Surveillance,"Cases from SHC Gadh, Block Gangeo. Fever with rash. Age group 1-31 years. All cases clinically diagnosed.",week 9
MP/SVP/2024/09/325,Madhya Pradesh,Shivpuri,Leptospirosis,1,1,28-02-2024,01-03-2024,Under Surveillance,"Case from Urban District Shivpuri. High grade fever, abdominal pain, headache, red eyes. 1 sample positive for Leptospirosis IgM by ELISA. Death of a 39 year old male on 29-2-2024.",week 9
MH/AMN/2024/09/326,Maharashtra,Ahmednagar,Acute Diarrheal Disease,122,0,29-02-2024,29-02-2024,Under Surveillance,"Cases from Maveshi Kohane, Sub-District Akole. Abdominal pain, loose motion, weakness. Age group 15-65 years. RRT visited and investigated.",week 9
MH/AKL/2024/09/327,Maharashtra,Akola,Acute Diarrheal Disease,10,0,27-02-2024,28-02-2024,Under Surveillance,"Cases from Akola Corporation Area, Sub-District Akola. Abdominal pain, loose motion, weakness. Age group 10-70 years.",week 9
MH/PLR/2024/09/328,Maharashtra,Palghar,Acute Diarrheal Disease,15,0,01-03-2024,01-03-2024,Under Surveillance,"Cases from Village Gorthan, Sub-District Jawhar. 3 out of 6 water samples unfit for drinking. Stool samples showed E Coli. Age group 10-65 years.",week 9
MG/WKH/2024/09/329,Meghalaya,Eastern West Khasi Hills,Acute Diarrheal Disease,11,1,27-02-2024,29-02-2024,Under Control,"Cases from Markasa PHC, Village Laitkseh, Sub-District Mawthadraishan. Loose stools, vomiting and fatigue after consuming leftover food from a social gathering on February 25, 2024. Death of a 9 year old male on February 27, 2024. Contaminated food suspected.",week 9
OR/MAL/2024/09/330,Odisha,Malkangiri,Acute Diarrheal Disease,6,0,25-02-2024,26-02-2024,Under Control,"Cases from Village Saradhaput, Sub-District Mathili. Loose motion and vomiting after attending a marriage function. Water samples H2S negative, OT<0.1 PPM. Age group 8-43 years.",week 9
TN/CMB/2024/09/331,Tamil Nadu,Coimbatore,Mumps,22,0,23-02-2024,01-03-2024,Under Surveillance,"Cases from Block Thondamuthur, PHC Semmedu, Village Mathvarayapuram. 1 serum sample positive for Mumps IgM by PCR. Age group 5-14 years.",week 9
TN/KRR/2024/09/332,Tamil Nadu,Karur,Acute Diarrheal Disease,15,0,25-02-2024,26-02-2024,Under Control,Cases from a college in Block Thanthoni. Vomiting and loose stools. All affected >14 years. Blood samples showed no growth; food samples normal; water potable. Fever camp organized and Chlorination done.,week 9
TN/SLM/2024/09/333,Tamil Nadu,Salem,Mumps,12,0,28-02-2024,29-02-2024,Under Control,"Cases from Block Chithoor, Village Ottapatty. All 4 serum samples and 1 buccal swab positive for mumps IgM by PCR. Age group 5-10 years.",week 9
TN/TNG/2024/09/334,Tamil Nadu,The Nilgiris,Mumps,10,0,01-03-2024,02-03-2024,Under Surveillance,"Cases from Block Gudalur, Village Chembala. 2 serum and 2 buccal swabs positive for Mumps by RT-PCR and serology. Age group 1-14 years.",week 9
TN/TPL/2024/09/335,Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,8,0,27-02-2024,27-02-2024,Under Control,"Cases from Block Zone 3, Thiruverumbur UPHC, Village Goodshed Road. Loose stools. Stool sample negative; water potable.",week 9
TN/TPL/2024/09/336,Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,14,0,26-02-2024,26-02-2024,Under Surveillance,"Cases from Block T.Pet. PHC Mettupalayam, Village Peruganur. Loose stools and vomiting. All samples negative; water potable.",week 9
TN/CMB/2024/09/337,Tamil Nadu,Tirupathur,Measles,17,0,26-02-2024,28-02-2024,Under Control,"Cases from Block Kandhili, Village Kumarampatti. Fever with rash. 9 out of 12 samples positive for measles IgM by PCR. Age group 1-14 years.",week 9
UP/JAL/2024/09/338,Uttar Pradesh,Jalaun,Measles,8,0,23-02-2024,26-02-2024,Under Surveillance,"Cases from Village Gandhi Nagar, CHC Konch. 1 out of 5 blood samples positive for Measles (IgM ELISA). Age group 1-14 years. 2 out of 8 cases vaccinated.",week 9
UP/KSN/2024/09/339,Uttar Pradesh,Kushinagar,Food Poisoning,28,0,23-02-2024,28-02-2024,Under Surveillance,"Cases from a Primary School in Village Shivdutt Chhapra, CHC Nebua Naurangia. Children consumed Daal Peetha in school lunch. Age group 7-12 years.",week 9
BH/SMP/2024/09/340,Bihar,Samastipur,Fever with Rash,9,0,20-02-2024,,Under Surveillance,"(Late report) Cases from Village Chak Salem, Sub-District Patori. All samples negative for Measles IgM by ELISA. Age group 6-28 years.",week 9
GJ/MHS/2024/09/341,Gujarat,Mahesana,Fever with Rash,7,0,02-02-2024,,Under Control,"(Late report) Cases from Visnagar UPHC, Village Savala, Sub-District Visnagar. Age group below 10 years. All cases vaccinated. All samples negative for measles. Vitamin A given. Extra vaccination session planned.",week 9
KL/TRC/2024/09/342,Kerala,Thrissur,Mumps,14,0,24-01-2024,,Under Surveillance,"(Late report) Cases from a school in Vadakkethara, Pazhayannur. All cases clinically diagnosed. Active case search done. School authority instructed for continued surveillance.",week 9
MG/EGH/2024/09/343,Meghalaya,East Garo Hills,Chickenpox,17,0,19-02-2024,,Under Surveillance,"(Late report) Cases from Bone Songma Village, Songsak Block. Fever and maculopapular rashes. Age group 2-23 years. Clinically diagnosed. Active case search conducted.",week 9
TN/CBM/2024/09/344,Tamil Nadu,Coimbatore,Mumps,24,0,20-02-2024,,Under Surveillance,"(Late report) Cases from Block Madukkarai, PHC Chettipalayam, Village Samathuvapuram. 3 serum samples positive for Mumps IgM by PCR. Age group 1-10 years.",week 9
UP/AUR/2024/09/345,Uttar Pradesh,Auraiya,Food Poisoning,18,1,09-02-2024,,Under Control,"(Late report) Cases from Village Har Chandpur, CHC Bidhuna. Loose motion, vomiting and abdominal spasm after stale food. Age group 5-50 years. 1 death of a 12 year old girl.",week 9
UP/BAH/2024/09/346,Uttar Pradesh,Bahraich,Food Poisoning,60,0,14-02-2024,,Under Control,"(Late report) Cases from Village Bhaukaha, Sub District Mahasi. Loose motion and vomiting. Cases consumed stale food. Treated at District Male Hospital.",week 9
AR/PPM/2024/10/347,Arunachal Pradesh,Papumpare,Human Rabies,1,1,04-03-2024,04-03-2024,Under Surveillance,"Case from Village Chandanagar, Sub-District Itanagar EAC. 38 year old male. Dog bite 5-6 months back. Did not receive ARV. Expired on 04-03-2024 at TRIHMS, Naharlagun.",week 10
AS/SNT/2024/10/348,Assam,Biswanath,Hepatitis A,25,2,02-03-2024,04-03-2024,Under Surveillance,"Cases from village Tinigharia, Sub-District Gohpur. 12 out of 35 blood samples positive for Hepatitis A IgM. 16 out of 46 water samples not suitable for potable purpose. 27 year old male died on 16-02-24 due to Sepsis with MODS; 35 year old male died on 29-02-24 due to Acute Liver failure.",week 10
AS/GLP/2024/10/349,Assam,Goalpara,Hepatitis A,28,0,05-03-2024,07-03-2024,Under Surveillance,"Cases from many villages in Sub-District Balijana. 28 out of 426 blood samples positive for Hepatitis A IgM by ELISA. Yellowish discoloration of eyes, myalgia and fever.",week 10
AS/UAL/2024/10/350,Assam,Udalguri,Food Poisoning,17,0,06-03-2024,08-03-2024,Under Surveillance,"Cases from village Chabukdhara, Sub-District Khoirabari. Loose motions, vomiting. All cases developed symptoms after having food in a marriage function.",week 10
BH/SAR/2024/10/351,Bihar,Saharsa,Measles,11,0,05-03-2024,05-03-2024,Under Surveillance,"Cases from Village Kasimpur, Sub-District Nauhatta. 1 out of 4 blood samples positive for Measles IgM by ELISA. Most cases not vaccinated. Vitamin A given.",week 10
CT/SUA/2024/10/352,Chhattisgarh,Sukma,Measles,93,0,01-03-2024,04-03-2024,Under Surveillance,"Cases from Villages Sunnamguda, Chintagupha and Polampalli, Sub-District Konta. 6 out of 18 blood samples positive for Measles IgM by ELISA. Most cases not vaccinated. Vitamin A given.",week 10
CT/SUA/2024/10/353,Chhattisgarh,Sukma,Fever with rash,13,0,01-03-2024,04-03-2024,Under Surveillance,"Cases from Village Kundanpal, Sub-District Chhindgarh. All 13 blood samples negative for Measles IgM by ELISA. Most cases not vaccinated. Vitamin A given.",week 10
GJ/AND/2024/10/354,Gujarat,Anand,Acute Diarrheal Disease,39,0,06-03-2024,06-03-2024,Under Control,"Cases from Village Bharel, Sub-District Petlad. Loose motions, vomiting and pain abdomen. Stool samples - no pathogenic organism growth; water sample unfit (E.Coli). No deaths.",week 10
GJ/AVL/2024/10/355,Gujarat,Arvalli,Acute Diarrheal Disease,17,0,05-03-2024,05-03-2024,Under Control,"Cases from Village Sarsoli, Sub-District Bayad. Vomiting and pain abdomen. Stool samples - no pathogenic organism; water sample fit for potable purposes.",week 10
HP/MAN/2024/10/356,Himachal Pradesh,Mandi,Hepatitis A,11,0,05-03-2024,06-03-2024,Under Control,"Cases from Village Bah, Sub-District Chachyot. Fever with jaundice. 4 out of 7 blood samples positive for Hepatitis A IgM by ELISA. Age group 5-23 years.",week 10
KN/KRW/2024/10/357,Karnataka,Uttar Kannad,Kyasanur Forest Disease,2,0,09-03-2024,09-03-2024,Under Surveillance,"Cases from Village Ambolli, Sub-District Supa. 2 out of 202 blood samples positive for KFD Virus by RT-PCR. Community awareness on vector control.",week 10
KL/MLP/2024/10/358,Kerala,Malappuram,Hepatitis A,36,0,06-03-2024,07-03-2024,Under Surveillance,"Cases from Sub-District Asika. 4 out of 5 blood samples positive for Hepatitis A IgM by ELISA. Water sample unfit (Coliforms). Fever, nausea and vomiting.",week 10
MP/SGR/2024/10/359,Madhya Pradesh,Sagar,Measles,44,0,24-01-2024,06-03-2024,Under Surveillance,"Cases from CHC Banda, District Sagar. 6 out of 10 blood samples positive for Measles IgM by ELISA. Most cases not vaccinated. Vitamin A given.",week 10
MH/DHL/2024/10/360,Maharashtra,Dhule,Food Poisoning,25,0,09-03-2024,09-03-2024,Under Surveillance,"Cases from Village Amalthe, Dhamane PHC. Nausea, vomiting, loose motion and abdominal pain. 4 food samples collected. All cases had food in a function.",week 10
MH/HIN/2024/10/361,Maharashtra,Hingoli,Acute Diarrheal Disease,21,0,08-03-2024,10-03-2024,Under Surveillance,"Cases from Village Khudaj, Sakhra PHC. Nausea, vomiting and abdominal pain.",week 10
MH/KOP/2024/10/362,Maharashtra,Kolhapur,Hepatitis A,22,0,05-03-2024,06-03-2024,Under Surveillance,"Cases from Village Vengrul, Sub-District Bhudargad. 5 out of 22 blood samples positive for Hepatitis A IgM by ELISA. All 4 water samples not suitable for potable purpose.",week 10
MH/LTR/2024/10/363,Maharashtra,Latur,Food Poisoning,48,0,08-03-2024,10-03-2024,Under Control,"Cases from Village Kharabwadi and Wagnalwadi, Sub-District Deoni. Nausea, vomiting, loose motion. Both food samples negative. All cases had food in a religious function.",week 10
